Participant,Trial,FootStrike_IC,FootOff_IC,FootStrike_OPP,FootOff_OPP,Frame numbers_sidestep,Time_sidestep,CoM_Displacement_x,CoM_Displacement_y,Speed_sidestep,Normalizing constant
pp2,1,191,211,216,232,42,0.683333,1.489199,0.425521,2.179316,260.711578
pp2,2,198,216,222,239,42,0.683333,1.711128,0.289036,2.50409,299.564331
pp2,3,217,235,240,256,40,0.65,1.565817,0.317411,2.408949,288.182617
pp3,1,230,257,261,284,55,0.9,1.294223,0.707211,1.438025,172.03096
pp3,2,275,304,311,333,59,0.966667,1.565988,0.451446,1.619988,193.799118
pp3,3,248,277,284,304,57,0.933333,1.408252,0.502813,1.508841,180.502625
pp4,1,183,207,213,232,50,0.816667,1.40689,0.619683,1.722723,206.08931
pp4,2,205,227,234,253,49,0.8,1.300534,0.542471,1.625667,194.478592
pp4,3,219,239,244,265,47,0.766667,1.405923,0.53197,1.833813,219.379074
pp5,1,173,194,199,216,44,0.716667,1.154168,0.596289,1.610466,192.66008
pp5,2,164,185,187,204,41,0.666667,0.891162,0.443971,1.336743,159.91452
pp5,3,178,202,205,226,49,0.8,1.037874,0.558242,1.297342,155.201065
pp7,2,162,180,191,211,50,0.816667,2.313225,0.704722,2.83252,338.854401
pp7,3,162,182,190,210,49,0.8,2.111417,0.515497,2.639272,315.736084
pp9,1,158,175,185,200,43,0.7,2.385993,0.343644,3.40856,407.766052
pp9,2,173,188,197,211,39,0.633333,2.072992,0.451599,3.273145,391.566376
pp9,3,156,170,179,193,38,0.616667,1.906605,0.52004,3.091791,369.870972
pp10,1,187,206,222,238,52,0.85,2.132891,0.499767,2.509284,300.185608
pp10,3,208,226,236,255,48,0.783333,1.892078,0.519995,2.415419,288.956604
pp11,1,155,175,178,193,39,0.633333,1.415135,0.48606,2.234423,267.304016
pp11,2,168,183,186,201,34,0.55,1.395512,0.398672,2.537294,303.536499
pp11,3,179,190,192,208,30,0.483333,1.460777,0.357135,3.022296,361.557312
pp14,1,196,210,221,237,42,0.683333,1.268234,0.747368,1.855952,222.027512
pp14,2,191,206,215,231,41,0.666667,1.26594,0.680983,1.89891,227.166641
pp14,3,196,212,220,238,43,0.7,1.383728,0.578742,1.976754,236.479126
pp15,1,164,177,183,200,37,0.6,1.33011,0.559663,2.21685,265.201782
pp15,2,173,184,191,207,35,0.566667,1.424265,0.499347,2.513408,300.679016
pp15,3,168,180,186,196,29,0.5,1.132233,0.507394,2.264466,270.89801
pp19,1,176,204,209,226,51,0.833333,1.771557,0.714873,2.125869,254.317657
pp19,2,168,205,210,224,57,0.933333,1.709902,0.710447,1.832038,219.166687
pp19,3,171,196,199,216,46,0.75,1.535187,0.642129,2.046916,244.872589
pp20,1,150,168,177,194,45,0.733333,1.308647,0.529844,1.784519,213.481995
pp20,2,143,159,166,182,40,0.65,1.404735,0.404346,2.161131,258.536102
pp20,3,169,190,200,216,48,0.783333,1.748706,0.177018,2.23239,267.060852
pp23,1,282,297,305,323,42,0.683333,1.482508,0.5248,2.169524,259.540131
pp23,2,257,271,279,295,39,0.633333,1.627757,0.340096,2.570143,307.466248
pp23,3,284,298,308,325,42,0.683333,1.587289,0.314042,2.322862,277.883972
pp24,1,215,231,240,260,46,0.75,1.556838,0.226371,2.075784,248.326065
pp24,2,239,255,265,284,46,0.75,1.558114,0.442107,2.077486,248.529633
pp24,3,232,250,259,277,46,0.75,1.565133,0.408231,2.086844,249.649139
