	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp10 sidestep 001 pose_filt_0.c3d
	NORMALIZED_WBAM	NORMALIZED_WBAM	NORMALIZED_WBAM	Normalized_LAR	Normalized_LAR	Normalized_LAR	Normalized_LFA	Normalized_LFA	Normalized_LFA	Normalized_LFT	Normalized_LFT	Normalized_LFT	Normalized_LHA	Normalized_LHA	Normalized_LHA	Normalized_LSK	Normalized_LSK	Normalized_LSK	Normalized_LTH	Normalized_LTH	Normalized_LTH	Normalized_LTO	Normalized_LTO	Normalized_LTO	Normalized_RAR	Normalized_RAR	Normalized_RAR	Normalized_RFA	Normalized_RFA	Normalized_RFA	Normalized_RFT	Normalized_RFT	Normalized_RFT	Normalized_RHA	Normalized_RHA	Normalized_RHA	Normalized_RHE	Normalized_RHE	Normalized_RHE	Normalized_RPV	Normalized_RPV	Normalized_RPV	Normalized_RSK	Normalized_RSK	Normalized_RSK	Normalized_RTH	Normalized_RTH	Normalized_RTH	Normalized_RTO	Normalized_RTO	Normalized_RTO	Normalized_RTX	Normalized_RTX	Normalized_RTX
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																						
2																																																						
3	-0.00301	0.00212	-0.00090	-0.00018	-0.00024	-0.00016	-0.00009	-0.00005	-0.00020	-0.00012	0.00025	-0.00003	-0.00001	0.00006	-0.00015	-0.00032	0.00098	-0.00016	-0.00019	0.00066	-0.00008	-0.00001	0.00001	0.00000	-0.00004	0.00004	-0.00004	-0.00007	0.00005	-0.00019	-0.00028	0.00006	-0.00000	-0.00005	-0.00007	-0.00016	-0.00044	-0.00025	0.00002	-0.00003	0.00008	0.00009	-0.00054	0.00028	-0.00000	-0.00026	0.00014	0.00001	-0.00001	0.00000	0.00000	-0.00037	0.00013	0.00015
4	-0.00388	0.00068	-0.00059	-0.00014	-0.00014	-0.00012	-0.00007	-0.00005	-0.00019	-0.00026	0.00026	-0.00002	-0.00000	0.00005	-0.00014	-0.00060	0.00068	-0.00010	-0.00028	0.00029	0.00002	-0.00001	0.00001	0.00000	-0.00009	-0.00004	0.00000	-0.00006	0.00005	-0.00020	-0.00036	0.00005	-0.00000	-0.00004	-0.00007	-0.00017	-0.00067	-0.00061	0.00004	-0.00004	0.00002	0.00013	-0.00063	0.00011	-0.00003	-0.00026	0.00001	-0.00004	-0.00001	0.00000	0.00000	-0.00037	0.00005	0.00022
5	-0.00351	-0.00181	-0.00050	-0.00007	0.00004	-0.00000	-0.00006	-0.00004	-0.00017	-0.00034	0.00014	0.00001	0.00000	0.00005	-0.00014	-0.00052	0.00057	-0.00008	-0.00016	0.00027	-0.00001	-0.00001	0.00001	0.00000	-0.00005	-0.00016	0.00008	-0.00005	0.00005	-0.00018	-0.00027	0.00004	-0.00000	-0.00004	-0.00007	-0.00018	-0.00090	-0.00103	0.00006	0.00001	0.00003	0.00006	-0.00042	-0.00009	-0.00004	-0.00014	-0.00035	-0.00014	-0.00001	0.00000	0.00000	-0.00048	-0.00124	0.00024
6	-0.00358	-0.00112	-0.00118	-0.00007	0.00008	0.00001	-0.00007	-0.00007	-0.00024	-0.00039	0.00005	0.00003	0.00001	0.00006	-0.00017	-0.00059	0.00103	-0.00014	-0.00022	0.00096	-0.00016	-0.00001	0.00000	0.00000	-0.00008	-0.00007	0.00004	-0.00007	0.00004	-0.00018	-0.00025	0.00004	-0.00000	-0.00005	-0.00008	-0.00018	-0.00084	-0.00136	0.00006	0.00005	0.00010	-0.00003	-0.00044	-0.00019	-0.00005	-0.00012	-0.00060	-0.00026	-0.00001	0.00000	0.00000	-0.00043	-0.00112	0.00010
